순위,대학교,학교명
1,서울대,서울대학교
2,카이스트,한국과학기술원
3,포항공대,포항공과대학교
4,연세대,연세대학교
5,고려대,고려대학교
6,성균관대,성균관대학교
7,한양대,한양대학교
8,울산과기대,울산과학기술원
9,경희대,경희대학교
10,광주과기대,광주과학기술원
11,이화여대,이화여자대학교
12,중앙대,중앙대학교
13,한국외대,한국외국어대학교
14,서강대,서강대학교
15,동국대,동국대학교
16,아주대,아주대학교
17,가톨릭대,가톨릭대학교
18,경북대,경북대학교
19,인하대,인하대학교
20,전북대,전북대학교
20,세종대,세종대학교
22,울산대,울산대학교
23,한림대,한림대학교
24,성신여대,성신여자대학교
25,부산대,부산대학교
26,건국대,건국대학교
27,전남대,전남대학교
27,충남대,충남대학교
27,단국대,단국대학교
30,서울시립대,서울시립대학교
30,영남대,영남대학교
32,충북대,충북대학교
32,제주대,제주대학교
32,강원대,강원대학교
32,국민대,국민대학교
32,서울과기대,서울과학기술대학교
32,숙명여대,숙명여자대학교
32,홍익대,홍익대학교
39,부경대,부경대학교
39,숭실대,숭실대학교
39,영산대,영산대학교
