"항목","시점",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"계","1991",709275,180301,59793,35236,40772,20063,18462,-,-,131016,19525,19081,21932,24563,28132,38276,64070,8053
"계","1992",730678,182691,59702,36525,42840,21942,19737,-,-,136116,19817,20411,22560,25890,28373,39492,66058,8524
"계","1993",715826,175827,56588,35933,41731,22062,20157,-,-,135225,19519,20786,22367,25737,26912,38698,65629,8655
"계","1994",721185,175707,54427,36370,41680,22571,21397,-,-,138510,19518,20674,22345,26701,27313,38893,66229,8850
"계","1995",715020,166236,52615,38779,41246,22907,21619,-,-,141710,19524,20974,23001,27183,28168,37158,65153,8747
"계","1996",691226,152140,50139,36954,39285,21830,21039,-,-,142235,19432,20962,23397,26798,27651,36627,64118,8619
"계","1997",675394,142724,46284,35219,38103,21684,20480,18273,-,143002,19821,21103,24551,26270,28080,37117,44138,8545
"계","1998",641594,134604,43200,32231,35541,20796,19294,16697,-,137066,19421,20151,24472,25849,26841,34914,42427,8090
"계","1999",620668,128120,41237,31308,34323,19244,18729,15740,-,134335,19143,19434,24045,24564,26363,34843,41184,8056
"계","2000",640089,133154,41222,32477,34433,21148,19570,15816,-,141704,19482,19628,24733,25173,26046,35190,41680,8633
"계","2001",559934,114764,35848,28111,30494,18198,17290,13600,-,126264,16873,17322,21962,22192,22588,30500,36475,7453
"계","2002",496911,102008,30767,24260,26775,16036,15631,11666,-,116854,15314,15329,19059,19215,19242,26022,32203,6530
"계","2003",495036,101227,30117,24513,26832,15954,15712,11720,-,120433,14349,14650,18627,18437,18333,25447,32102,6583
"계","2004",476958,99828,28231,23259,25092,14729,15024,11151,-,117812,13776,14331,18640,17257,17256,23553,30922,6097
"계","2005",438707,90468,25681,20804,23026,13327,13950,10469,-,109533,12657,13164,17521,15745,15818,22339,28471,5734
"계","2006",451759,93922,25881,20360,23711,13679,14489,10740,-,115111,12455,13366,18625,15571,15905,22567,29524,5853
"계","2007",496822,101249,28426,22295,26712,14810,15780,11955,-,126648,13690,15002,20630,17228,17844,25062,33313,6178
