"시점",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세
"시점",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"1993",1.654,1.558,1.505,1.556,1.815,1.809,1.747,-,-,1.861,1.518,1.715,1.602,1.607,1.642,1.613,1.790,1.847,4.4,2.7,2.9,2.8,6.1,3.9,5.2,-,-,6.9,5.6,6.0,5.9,5.3,5.1,4.0,4.1,4.6,71.9,54.2,58.6,62.1,96.4,74.8,78.5,-,-,99.5,69.2,85.0,74.3,66.6,72.7,71.7,86.8,66.0,176.5,168.4,167.3,174.7,182.9,195.1,182.3,-,-,184.3,156.1,177.7,166.5,172.2,175.1,177.7,193.6,182.4,63.2,70.0,58.2,58.6,62.1,69.0,67.3,-,-,64.2,56.5,58.1,57.4,60.9,58.3,54.6,58.4,89.0,13.5,14.0,11.9,10.9,12.8,15.8,13.8,-,-,14.4,13.4,13.3,13.6,13.5,14.2,12.5,12.5,22.2,2.0,1.8,1.7,1.7,2.1,2.1,1.8,-,-,2.3,2.1,2.3,2.1,2.2,1.9,1.7,2.0,4.7,0.2,0.2,0.1,0.2,0.1,0.4,0.1,-,-,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.3
"1994",1.656,1.565,1.468,1.557,1.776,1.818,1.763,-,-,1.825,1.533,1.667,1.601,1.664,1.700,1.611,1.771,1.867,4.0,2.4,2.5,2.5,5.2,3.9,5.0,-,-,5.8,4.8,5.4,5.9,5.0,5.2,3.5,3.7,4.8,65.4,48.3,52.4,57.0,85.5,66.7,73.7,-,-,88.4,63.5,75.6,68.7,64.4,71.7,66.9,77.9,63.4,177.5,169.0,164.1,175.4,182.1,197.9,186.0,-,-,185.9,157.9,177.0,170.3,176.7,179.0,177.3,194.9,185.1,67.0,75.8,60.7,62.0,65.8,74.6,69.9,-,-,66.4,61.5,59.1,57.6,67.7,64.4,58.8,61.6,92.0,14.5,15.2,11.7,12.5,13.9,17.1,15.0,-,-,15.5,15.2,13.4,14.7,15.8,16.2,12.7,13.4,23.1,2.2,2.0,1.7,1.7,2.2,2.3,2.2,-,-,2.3,3.0,2.1,2.4,2.3,2.6,2.3,2.2,4.0,0.3,0.2,0.2,0.2,0.2,0.4,0.3,-,-,0.3,0.3,0.3,0.2,0.4,0.3,0.4,0.2,0.6
"1995",1.634,1.512,1.424,1.574,1.714,1.830,1.739,-,-,1.812,1.548,1.675,1.642,1.694,1.780,1.624,1.760,1.828,3.7,2.1,2.1,2.3,4.7,3.7,3.7,-,-,5.1,5.0,5.1,5.8,5.2,5.2,3.4,3.3,4.1,62.4,44.0,46.5,56.4,80.4,65.7,68.8,-,-,85.3,61.6,73.7,69.7,64.1,72.1,62.4,74.2,61.3,175.3,161.5,159.4,176.2,177.6,196.9,185.4,-,-,184.4,161.1,177.4,171.2,178.7,187.9,181.5,194.9,177.4,68.6,76.6,62.0,64.8,63.6,78.1,70.9,-,-,68.4,63.4,61.3,63.0,70.0,69.1,61.5,62.8,92.9,15.0,15.6,12.2,12.9,13.5,18.0,15.5,-,-,15.7,15.1,14.5,15.1,17.1,17.8,13.4,13.9,23.4,2.4,2.2,1.9,1.8,2.4,2.4,3.0,-,-,2.7,2.8,2.5,2.8,3.0,2.6,2.0,2.2,4.8,0.2,0.2,0.1,0.2,0.2,0.3,0.1,-,-,0.3,0.3,0.2,0.3,0.2,0.5,0.3,0.2,0.8
"1996",1.574,1.407,1.386,1.497,1.618,1.726,1.657,-,-,1.725,1.566,1.668,1.655,1.672,1.766,1.596,1.717,1.782,3.4,1.9,2.0,2.0,4.0,3.3,3.4,-,-,4.5,4.6,4.6,5.0,5.3,5.0,3.3,3.3,3.7,58.5,39.2,42.6,50.4,74.1,61.6,63.8,-,-,79.0,59.6,71.3,68.5,62.4,72.7,59.9,71.1,57.2,166.3,146.4,151.7,168.0,166.7,182.8,173.7,-,-,176.6,161.2,174.9,170.4,173.0,181.4,175.4,189.5,167.7,70.3,77.7,64.6,65.7,65.3,78.9,73.8,-,-,70.3,66.6,63.8,64.8,72.0,71.1,63.7,64.4,97.3,15.4,15.6,13.5,13.1,14.5,17.6,15.4,-,-,16.5,15.1,15.6,16.0,17.3,17.0,14.0,14.1,26.9,2.5,2.2,2.2,2.0,2.3,2.4,2.8,-,-,2.8,3.2,2.9,2.9,2.8,3.1,2.0,2.3,4.3,0.2,0.2,0.2,0.1,0.1,0.3,0.3,-,-,0.2,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.3
"1997",1.537,1.338,1.303,1.444,1.578,1.697,1.593,1.794,-,1.689,1.597,1.672,1.695,1.639,1.808,1.610,1.624,1.761,3.2,1.7,1.7,2.3,3.7,3.2,3.3,2.5,-,3.9,4.2,5.1,5.7,5.2,5.3,3.2,3.0,3.8,54.7,34.4,37.9,44.5,68.2,59.4,56.6,75.9,-,73.2,60.3,71.3,69.9,59.7,70.9,58.8,63.3,54.6,160.5,136.7,140.8,159.8,163.6,178.0,166.9,196.8,-,173.3,160.1,170.0,171.9,167.2,182.7,175.7,177.5,165.6,72.3,77.7,65.2,68.4,66.5,79.7,74.0,69.7,-,72.4,73.1,69.8,69.0,74.2,77.2,67.1,65.2,100.0,15.9,16.6,13.1,13.5,14.2,17.7,17.0,14.6,-,16.7,17.3,16.0,16.9,17.8,18.7,14.4,14.4,23.7,2.5,2.3,2.1,1.9,2.4,2.7,2.9,2.8,-,2.8,3.0,2.8,3.0,2.9,3.1,2.5,2.6,4.4,0.2,0.2,0.1,0.2,0.3,0.3,0.1,0.2,-,0.3,0.2,0.5,0.3,0.2,0.5,0.2,0.3,0.2
"1998",1.464,1.272,1.241,1.336,1.477,1.613,1.492,1.664,-,1.602,1.562,1.596,1.666,1.612,1.736,1.520,1.568,1.661,3.0,1.5,1.7,1.8,3.1,2.8,3.0,2.3,-,3.5,4.6,4.1,5.8,4.6,5.7,3.3,3.0,3.5,48.8,30.1,32.5,38.5,57.7,52.3,48.6,63.6,-,64.1,59.4,65.0,66.4,55.6,64.6,52.1,58.0,49.0,152.8,129.4,133.2,147.2,155.3,169.7,156.8,185.6,-,164.8,155.2,163.7,169.8,166.8,175.7,164.8,172.2,152.9,71.9,77.3,66.8,66.8,65.1,77.8,73.0,68.2,-,72.7,72.1,68.5,69.8,73.6,75.5,66.9,65.9,96.7,15.7,16.2,12.7,12.9,14.2,18.4,15.5,13.2,-,16.6,16.8,16.0,16.9,18.4,18.9,14.6,14.0,27.1,2.5,2.2,1.8,1.8,2.4,3.0,3.2,2.2,-,3.0,3.0,3.1,3.0,2.8,3.3,2.5,2.2,4.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,-,0.3,0.4,0.1,0.3,0.2,0.4,0.3,0.2,0.5
"1999",1.425,1.218,1.207,1.313,1.449,1.486,1.443,1.605,-,1.565,1.546,1.549,1.635,1.534,1.725,1.533,1.543,1.646,2.8,1.4,1.6,1.6,2.7,2.9,2.7,1.9,-,3.4,4.1,4.2,5.7,4.4,5.0,2.9,2.7,3.4,43.8,26.3,28.3,33.5,50.8,45.2,45.1,55.6,-,57.5,54.1,57.3,63.1,50.8,59.9,49.2,51.7,42.2,147.9,121.7,128.2,144.8,152.3,154.3,149.7,180.3,-,160.8,154.3,161.9,167.7,157.0,173.7,166.2,169.6,152.3,73.0,77.4,67.8,68.1,67.4,76.0,72.5,67.5,-,74.3,73.8,67.1,69.0,72.6,80.3,70.4,67.7,101.6,15.7,16.2,13.0,13.2,14.6,16.6,15.9,13.7,-,16.3,17.2,15.8,17.1,17.5,18.9,14.6,14.0,27.1,2.6,2.4,1.7,1.9,2.4,2.7,2.5,2.3,-,2.9,3.5,2.7,2.8,3.0,3.4,2.5,2.7,4.6,0.3,0.2,0.1,0.1,0.4,0.3,0.3,0.3,-,0.3,0.2,0.3,0.2,0.2,0.4,0.3,0.3,0.5
"2000",1.480,1.275,1.235,1.378,1.473,1.636,1.501,1.633,-,1.628,1.600,1.583,1.698,1.595,1.750,1.578,1.586,1.783,2.6,1.3,1.4,1.6,2.4,3.2,2.9,1.7,-,3.0,3.9,3.9,5.1,4.5,4.5,2.6,2.7,4.1,39.2,23.5,24.9,29.5,43.5,41.3,38.7,44.2,-,51.1,50.4,51.3,58.1,47.9,56.6,44.0,45.2,43.8,150.3,121.4,126.5,147.4,155.5,167.5,153.8,184.0,-,166.0,159.6,160.6,171.9,160.2,171.4,169.4,170.8,161.9,84.1,90.2,76.1,79.9,75.9,91.3,84.6,78.6,-,86.1,80.2,78.8,80.9,82.4,88.5,78.8,78.7,111.3,17.6,18.8,14.3,14.4,14.8,19.9,17.6,14.8,-,18.4,19.4,17.4,18.1,18.8,20.5,16.3,15.7,30.8,2.7,2.6,2.0,2.2,2.4,3.4,3.0,2.2,-,3.0,3.3,2.8,3.2,2.8,3.5,2.8,2.4,5.4,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,-,0.3,0.4,0.5,0.3,0.3,0.3,0.3,0.2,0.8
"2001",1.309,1.111,1.103,1.216,1.324,1.421,1.330,1.423,-,1.437,1.413,1.426,1.532,1.426,1.566,1.402,1.417,1.564,2.4,1.3,1.5,1.6,2.3,2.4,2.4,1.7,-,2.7,2.7,3.3,4.3,3.7,4.3,2.5,2.4,2.6,31.7,18.3,20.0,23.5,34.2,34.7,30.6,34.6,-,40.9,39.5,42.2,49.9,40.5,46.8,35.4,37.6,41.4,129.8,101.9,107.7,127.4,136.2,140.4,134.7,153.5,-,143.9,138.1,143.6,151.4,141.0,154.4,147.8,151.4,136.3,78.1,82.4,73.3,73.0,73.0,84.2,78.0,75.3,-,79.7,76.9,73.6,76.0,76.3,80.2,74.2,72.7,100.8,17.3,18.3,14.5,14.6,15.8,18.8,17.1,15.7,-,18.0,18.6,16.7,18.5,18.7,20.2,16.1,14.9,28.5,2.6,2.4,1.8,1.9,2.4,2.7,2.6,2.3,-,3.0,3.1,3.0,3.8,3.2,2.9,2.3,2.4,4.1,0.2,0.2,0.1,0.3,0.4,0.2,0.4,0.3,-,0.3,0.3,0.4,0.2,0.3,0.3,0.1,0.3,0.3
