"학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"ICT폴리텍대학","사립","경기","368872500","219407500","0","149465000","82715000","28500000","48492500","0","0","0","5722500","451587500"
"가야대학교(김해)","사립","경남","4995635065","4957301385","7315680","31018000","2285214810","674255020","915679450","129785340","0","35822000","529673000","7280849875"
"가천대학교","사립","경기","35109669872","34484846547","101976165","522847160","28256078762","6294783100","8068027560","1480963771","10139300","176458600","12225706431","63365748634"
"가톨릭관동대학교","사립","강원","16159991032","15525791002","478532550","155667480","6660115923","2922916230","906426550","210252628","115200000","156439000","2348881515","22820106955"
"가톨릭꽃동네대학교","사립","충북","1468923590","1382093430","1352160","85478000","605438779","80527500","229202000","122970012","0","6618000","166121267","2074362369"
"가톨릭대학교","사립","경기","14394845376","13231777486","76781223","1086286667","11126044354","3950002550","2955068450","517059284","1261191550","44995000","2397727520","25520889730"
"가톨릭상지대학교","사립","경북","5174618138","5120618138","3500000","50500000","1739623244","248460000","103949000","28360402","0","33935800","1324918042","6914241382"
"감리교신학대학교","사립","서울","2706476943","2418217212","17803520","270456211","511950028","255815200","84169200","31826328","0","6157200","133982100","3218426971"
"강남대학교","사립","경기","14494157720","14305187060","17787160","171183500","7402296485","2314738130","2656121600","310447105","574900000","77528600","1468561050","21896454205"
"강동대학교","사립","충북","8339991953","8249358573","49716930","40916450","2602830462","320021500","788385021","66136512","6819000","64515400","1356953029","10942822415"
"강릉영동대학교","사립","강원","6474365167","6222272367","222642800","29450000","1435809803","414199100","38026400","37449583","0","25894800","920239920","7910174970"
"강릉원주대학교","국공립","강원","15486625110","14869129230","281582430","335913450","5548540480","3133149900","1047001780","385348890","0","0","983039910","21035165590"
"강서대학교","사립","서울","3161371652","2995420342","44414000","121537310","1979800000","275920400","526694474","170918726","34350000","30655000","941261400","5141171652"
"강원관광대학교","사립","강원","1860629960","1573447810","280182150","7000000","398924297","117595730","94245667","0","565400","0","186517500","2259554257"
"강원대학교","국공립","강원","39118871242","34317238499","2717620120","2084012623","13260668352","5331605090","2460018600","2889060832","0","0","2579983830","52379539594"
"강원도립대학교","국공립","강원","877490415","825243295","4753120","47494000","541032000","114157240","41899000","79434360","0","0","305541400","1418522415"
"거제대학교","사립","경남","2909981188","2832354188","2000000","75627000","976809842","153893500","313285000","50841492","0","11218300","447571550","3886791030"
"건국대학교","사립","서울","27062175362","23892019578","433662230","2736493554","21747693132","6691346262","10033556421","955702802","7847320","104262400","3954977927","48809868494"
"건국대학교(글로컬)","사립","충북","15695431342","15230770962","140130180","324530200","9857135528","2388274900","2535979960","463539448","6620300","132627800","4330093120","25552566870"
"건양대학교","사립","충남","15352584221","14821419831","2790720","528373670","8711528208","4379628750","2226360920","162481588","0","34662500","1908394450","24064112429"
"건양사이버대학교","사립","대전","6251053346","6251053346","0","0","1283415432","215122500","15500000","42140432","18714500","6606000","985332000","7534468778"
"경기과학기술대학교","사립","경기","11122860473","10913303273","53977200","155580000","5001816432","597383520","164899960","200737452","0","18888000","4019907500","16124676905"
"경기대학교","사립","경기","28424497626","27814044296","175226270","435227060","19630992793","5633265500","5227274720","852568664","3026840000","103011000","4788032909","48055490419"
"경남과학기술대학교","국공립","경남","8739259984","8497245104","28884480","213130400","3018755760","1949210560","160964590","147647860","3610700","0","757322050","11758015744"
"경남대학교","사립","경남","22196002753","21587771813","128455440","479775500","12408696284","4801057400","1991403420","715856214","24134900","206005000","4670239350","34604699037"
"경남도립거창대학","국공립","경남","1361776127","1305812287","2230840","53733000","698215048","156827000","29600000","87996548","0","0","423791500","2059991175"
"경남도립남해대학","국공립","경남","1361942360","1314315580","1669280","45957500","701670430","103848700","29546000","110112530","0","0","458163200","2063612790"
"경남정보대학교","사립","부산","18635853738","18429178191","35677680","170997867","4826390421","1241890020","743491640","211049508","0","48202200","2581757053","23462244159"
"경동대학교","사립","강원","14998976874","14349957534","452656740","196362600","8551633650","927385300","2386933400","37600000","0","84675400","5115039550","23550610524"
"경민대학교","사립","경기","12429221182","11751446332","586292100","91482750","3632113082","472958000","451670000","249479108","12106660","1650000","2444249314","16061334264"
"경복대학교","사립","경기","18254984508","18125058408","28659600","101266500","6253493398","286604000","2228594052","341275206","0","19097500","3377922640","24508477906"
"경북과학대학교","사립","경북","3942707445","3926045255","0","16662190","2790204890","149172000","58577320","504000","0","155403120","2426548450","6732912335"
"경북대학교","국공립","대구","39145313768","36321961128","65224330","2758128310","15559919432","7107580600","4021938180","2111547122","0","0","2318853530","54705233200"
"경북도립대학교","국공립","경북","1132410984","1093227484","10116000","29067500","535535166","231955700","62855040","19325096","0","0","221399330","1667946150"
"경북보건대학교","사립","경북","3057522712","3009444006","3906500","44172206","1147802807","513703460","178069580","79748324","0","0","376281443","4205325519"
"경북전문대학교","사립","경북","8107805383","7996480793","23084590","88240000","2463014002","470877400","41444120","274755032","0","38947000","1636990450","10570819385"
"경상국립대학교","국공립","경남","26147511742","24863063362","235532230","1048916150","8067423738","4129838220","1391644000","1495775918","4351000","0","1045814600","34214935480"
"경성대학교","사립","부산","27243097259","26770850904","108014565","364231790","12163346900","4255834500","2967961500","535318340","40928500","76365000","4286939060","39406444159"
"경운대학교","사립","경북","11715820581","11496317653","187002928","32500000","7119430006","760897000","1153803840","210329100","0","12946000","4981454066","18835250587"
"경인교육대학교","국공립","인천","3571844347","3209252637","161058320","201533390","1972846198","634577500","401237500","390162628","0","0","546868570","5544690545"
"경인여자대학교","사립","인천","12783692572","12741963172","0","41729400","4231692278","759662240","287028900","476473998","0","23693800","2684833340","17015384850"
"경일대학교","사립","경북","17271007054","17159217214","7143840","104646000","8594203246","2579967930","2193475750","378512756","0","44045000","3398201810","25865210300"
"경주대학교","사립","경북","796537425","790958665","0","5578760","1643992180","116902000","282054000","32427180","0","7480000","1205129000","2440529605"
"경희대학교","사립","서울","42903138434","40079438118","316754380","2506945936","33926447384","9040017100","12830985780","522510250","4381145590","251928000","6899860664","76829585818"
