학교,권역,지역,enroll_point,scholarship_point,world_point,sum,grade
한림대학교,강원권,강원,2,2.00,2.00,6.00,S
숙명여자대학교,수도권,서울,2,2.00,2.00,6.00,S
한국과학기술원,충청권,대전,2,2.00,2.00,6.00,S
국민대학교,수도권,서울,2,2.00,2.00,6.00,S
제주대학교,제주권,제주,1,2.00,2.00,5.00,S
서울과학기술대학교,수도권,서울,1,2.00,2.00,5.00,S
강원대학교,강원권,강원,1,2.00,2.00,5.00,S
홍익대학교,수도권,서울,1,2.00,2.00,5.00,S
한양대학교,수도권,서울,1,2.00,2.00,5.00,S
서강대학교,수도권,서울,1,2.00,2.00,5.00,S
한국외국어대학교,수도권,서울,1,2.00,2.00,5.00,S
중앙대학교,수도권,서울,1,2.00,2.00,5.00,S
동국대학교,수도권,서울,1,2.00,2.00,5.00,S
서울대학교,수도권,서울,1,2.00,2.00,5.00,S
인하대학교,수도권,인천,1,2.00,2.00,5.00,S
이화여자대학교,수도권,서울,1,2.00,2.00,5.00,S
연세대학교,수도권,서울,1,2.00,2.00,5.00,S
아주대학교,수도권,경기,1,2.00,2.00,5.00,S
숭실대학교,수도권,서울,1,2.00,2.00,5.00,S
성균관대학교,수도권,서울,1,2.00,2.00,5.00,S
세종대학교,수도권,서울,1,2.00,2.00,5.00,S
가톨릭대학교,수도권,경기,1,2.00,2.00,5.00,S
충남대학교,충청권,대전,1,2.00,2.00,5.00,S
부경대학교,경상권,부산,1,2.00,2.00,5.00,S
전북대학교,전라권,전북,1,2.00,2.00,5.00,S
전남대학교,전라권,광주,1,2.00,2.00,5.00,S
울산대학교,경상권,울산,1,2.00,2.00,5.00,S
건국대학교,수도권,서울,1,2.00,2.00,5.00,S
울산과학기술원,경상권,울산,2,1.00,2.00,5.00,S
부산대학교,경상권,부산,1,2.00,2.00,5.00,S
경희대학교,수도권,서울,1,2.00,2.00,5.00,S
영남대학교,경상권,경북,1,2.00,2.00,5.00,S
고려대학교,수도권,서울,1,2.00,2.00,5.00,S
경북대학교,경상권,대구,1,2.00,2.00,5.00,S
단국대학교,수도권,경기,1,2.00,2.00,5.00,S
충북대학교,충청권,충북,1,2.00,2.00,5.00,S
성신여자대학교,수도권,서울,1,2.00,2.00,5.00,S
한성대학교,수도권,서울,2,2.00,0.00,4.00,A
한국공학대학교,수도권,경기,2,2.00,0.00,4.00,A
남서울대학교,충청권,충남,2,2.00,0.00,4.00,A
영산대학교,경상권,경남,0,2.00,2.00,4.00,A
인천대학교,수도권,인천,2,2.00,0.00,4.00,A
한남대학교,충청권,대전,2,2.00,0.00,4.00,A
경동대학교,강원권,강원,2,2.00,0.00,4.00,A
포항공과대학교,경상권,경북,1,1.00,2.00,4.00,A
신한대학교,수도권,경기,2,2.00,0.00,4.00,A
광주과학기술원,전라권,광주,2,0.00,2.00,4.00,A
수원대학교,수도권,경기,2,2.00,0.00,4.00,A
가천대학교,수도권,경기,2,2.00,0.00,4.00,A
대진대학교,수도권,경기,2,2.00,0.00,4.00,A
서울여자대학교,수도권,서울,2,2.00,0.00,4.00,A
서울시립대학교,수도권,서울,1,1.00,2.00,4.00,A
상명대학교,수도권,서울,2,2.00,0.00,4.00,A
서경대학교,수도권,서울,2,2.00,0.00,4.00,A
삼육대학교,수도권,서울,2,2.00,0.00,4.00,A
한양사이버대학교,수도권,서울,1,2.00,0.00,3.00,B
서원대학교,충청권,충북,1,2.00,0.00,3.00,B
청주대학교,충청권,충북,1,2.00,0.00,3.00,B
을지대학교,충청권,대전,2,1.00,0.00,3.00,B
우송대학교,충청권,대전,1,2.00,0.00,3.00,B
순천향대학교,충청권,충남,1,2.00,0.00,3.00,B
선문대학교,충청권,충남,1,2.00,0.00,3.00,B
백석대학교,충청권,충남,1,2.00,0.00,3.00,B
강릉원주대학교,강원권,강원,1,2.00,0.00,3.00,B
목원대학교,충청권,대전,1,2.00,0.00,3.00,B
한국교통대학교,충청권,충북,1,2.00,0.00,3.00,B
동덕여자대학교,수도권,서울,1,2.00,0.00,3.00,B
공주대학교,충청권,충남,1,2.00,0.00,3.00,B
명지대학교,수도권,경기,1,2.00,0.00,3.00,B
대전대학교,충청권,대전,1,2.00,0.00,3.00,B
광운대학교,수도권,서울,1,2.00,0.00,3.00,B
한국기술교육대학교,충청권,충남,2,1.00,0.00,3.00,B
한밭대학교,충청권,대전,1,2.00,0.00,3.00,B
조선대학교,전라권,광주,1,2.00,0.00,3.00,B
전주대학교,전라권,전북,1,2.00,0.00,3.00,B
광주대학교,전라권,광주,1,2.00,0.00,3.00,B
한동대학교,경상권,경북,2,1.00,0.00,3.00,B
한국해양대학교,경상권,부산,2,1.00,0.00,3.00,B
강남대학교,수도권,경기,1,2.00,0.00,3.00,B
창원대학교,경상권,경남,1,2.00,0.00,3.00,B
창신대학교,경상권,경남,2,1.00,0.00,3.00,B
경기대학교,수도권,경기,1,2.00,0.00,3.00,B
동아대학교,경상권,부산,1,2.00,0.00,3.00,B
대구한의대학교,경상권,경북,1,2.00,0.00,3.00,B
계명대학교,경상권,대구,1,2.00,0.00,3.00,B
경성대학교,경상권,부산,1,2.00,0.00,3.00,B
경상국립대학교,경상권,경남,1,2.00,0.00,3.00,B
호서대학교,충청권,충남,1,2.00,0.00,3.00,B
한세대학교,수도권,경기,2,1.00,0.00,3.00,B
나사렛대학교,충청권,충남,1,2.00,0.00,3.00,B
총신대학교,수도권,서울,2,1.00,0.00,3.00,B
서울신학대학교,수도권,경기,2,1.00,0.00,3.00,B
서울사이버대학교,수도권,서울,1,2.00,0.00,3.00,B
성결대학교,수도권,경기,2,1.00,0.00,3.00,B
차의과학대학교,수도권,경기,2,1.00,0.00,3.00,B
용인대학교,수도권,경기,1,1.00,0.00,2.00,B
동의대학교,경상권,부산,0,2.00,0.00,2.00,B
동서대학교,경상권,부산,0,2.00,0.00,2.00,B
동명대학교,경상권,부산,0,2.00,0.00,2.00,B
대신대학교,경상권,경북,2,0.00,0.00,2.00,B
대구대학교,경상권,경북,0,2.00,0.00,2.00,B
대구경북과학기술원,경상권,대구,2,0.00,0.00,2.00,B
대구가톨릭대학교,경상권,경북,0,2.00,0.00,2.00,B
금오공과대학교,경상권,경북,1,1.00,0.00,2.00,B
한국체육대학교,수도권,서울,1,1.00,0.00,2.00,B
한국항공대학교,수도권,경기,1,1.00,0.00,2.00,B
경일대학교,경상권,경북,0,2.00,0.00,2.00,B
부산장신대학교,경상권,경남,2,0.00,0.00,2.00,B
경운대학교,경상권,경북,0,2.00,0.00,2.00,B
을지대학교 _제2캠퍼스,수도권,경기,2,0.00,0.00,2.00,B
을지대학교 _제3캠퍼스,수도권,경기,2,0.00,0.00,2.00,B
경남대학교,경상권,경남,0,2.00,0.00,2.00,B
한서대학교,충청권,충남,0,2.00,0.00,2.00,B
인천가톨릭대학교 _제2캠퍼스,수도권,인천,2,0.00,0.00,2.00,B
한국전통문화대학교,충청권,충남,2,0.00,0.00,2.00,B
장로회신학대학교,수도권,서울,2,0.00,0.00,2.00,B
한국교원대학교,충청권,충북,2,0.00,0.00,2.00,B
부산외국어대학교,경상권,부산,0,2.00,0.00,2.00,B
신라대학교,경상권,부산,0,2.00,0.00,2.00,B
덕성여자대학교,수도권,서울,1,1.00,0.00,2.00,B
경동대학교 _제4캠퍼스,수도권,경기,2,0.00,0.00,2.00,B
호원대학교,전라권,전북,0,2.00,0.00,2.00,B
호남신학대학교,전라권,광주,2,0.00,0.00,2.00,B
호남대학교,전라권,광주,0,2.00,0.00,2.00,B
초당대학교,전라권,전남,1,1.00,0.00,2.00,B
성공회대학교,수도권,서울,1,1.00,0.00,2.00,B
가톨릭대학교 _제2캠퍼스,수도권,서울,2,0.00,0.00,2.00,B
원광대학교,전라권,전북,0,2.00,0.00,2.00,B
우석대학교,전라권,전북,0,2.00,0.00,2.00,B
예수대학교,전라권,전북,2,0.00,0.00,2.00,B
송원대학교,전라권,광주,1,1.00,0.00,2.00,B
세한대학교,전라권,전남,1,1.00,0.00,2.00,B
목포대학교,전라권,전남,0,2.00,0.00,2.00,B
목포가톨릭대학교,전라권,전남,2,0.00,0.00,2.00,B
동신대학교,전라권,전남,0,2.00,0.00,2.00,B
광주교육대학교,전라권,광주,2,0.00,0.00,2.00,B
광신대학교,전라권,광주,2,0.00,0.00,2.00,B
화신사이버대학교,경상권,부산,2,0.00,0.00,2.00,B
신한대학교 _제2캠퍼스,수도권,경기,2,0.00,0.00,2.00,B
안양대학교,수도권,경기,1,1.00,0.00,2.00,B
진주교육대학교,경상권,경남,2,0.00,0.00,2.00,B
인제대학교,경상권,경남,0,2.00,0.00,2.00,B
강서대학교,수도권,서울,2,0.00,0.00,2.00,B
경기대학교 _제2캠퍼스,수도권,서울,2,0.00,0.00,2.00,B
국제사이버대학교,수도권,경기,1,1.00,0.00,2.00,B
세종사이버대학교,수도권,서울,0,2.00,0.00,2.00,B
공주교육대학교,충청권,충남,2,0.00,0.00,2.00,B
루터대학교,수도권,경기,2,0.00,0.00,2.00,B
한경대학교,수도권,경기,1,1.00,0.00,2.00,B
평택대학교,수도권,경기,1,1.00,0.00,2.00,B
칼빈대학교,수도권,경기,2,0.00,0.00,2.00,B
배재대학교,충청권,대전,0,2.00,0.00,2.00,B
추계예술대학교,수도권,서울,2,0.00,0.00,2.00,B
한국성서대학교,수도권,서울,2,0.00,0.00,2.00,B
세명대학교,충청권,충북,0,2.00,0.00,2.00,B
가톨릭관동대학교,강원권,강원,0,2.00,0.00,2.00,B
상지대학교,강원권,강원,0,2.00,0.00,2.00,B
한국방송통신대학교,수도권,서울,0,2.00,0.00,2.00,B
건양대학교,충청권,충남,0,2.00,0.00,2.00,B
유원대학교,충청권,충북,1,1.00,0.00,2.00,B
중부대학교,충청권,충남,0,2.00,0.00,2.00,B
청주교육대학교,충청권,충북,2,0.00,0.00,2.00,B
청운대학교,충청권,충남,0,2.00,0.00,2.00,B
협성대학교,수도권,경기,1,1.00,0.00,2.00,B
한신대학교,수도권,경기,1,1.00,0.00,2.00,B
건국대학교(글로컬) _분교,충청권,충북,1,0.00,0.00,1.00,C
광주여자대학교,전라권,광주,0,1.00,0.00,1.00,C
남부대학교,전라권,광주,0,1.00,0.00,1.00,C
군산대학교,전라권,전북,0,1.00,0.00,1.00,C
고려대학교(세종) _분교,충청권,세종,1,0.00,0.00,1.00,C
연세대학교(미래) _분교,강원권,강원,1,0.00,0.00,1.00,C
건양대학교 _제2캠퍼스,충청권,대전,1,0.00,0.00,1.00,C
춘천교육대학교,강원권,강원,1,0.00,0.00,1.00,C
위덕대학교,경상권,경북,0,1.00,0.00,1.00,C
