기준연도,학교종류,설립구분,지역,상태,학교,입학정원(A),모집인원계,정원내(B),정원외,지원자계,정원내(C),정원외,입학자계,정원내(D)남,정원내(D)여,정원외남,정원외여,정원내 신입생 충원율(%) (D/B) × 100,경쟁률(C/B)
2022,대학교,사립,경남,기존,가야대학교(김해),460,490,463,27,"2,286","2,142",144,383,179,178,6,20,77.1,4.6
2022,대학교,사립,경기,기존,가천대학교,"4,081","4,694","4,083",611,"66,469","62,951","3,518","4,675","2,124","1,959",312,280,100,15.4
2022,대학교,사립,강원,기존,가톨릭관동대학교,"1,824","1,957","1,825",132,"7,556","6,926",630,"1,563",858,598,41,66,79.8,3.8
2022,대학교,사립,충북,기존,가톨릭꽃동네대학교,108,115,108,7,535,513,22,108,41,62,2,3,95.4,4.8
2022,대학교,사립,경기,기존,가톨릭대학교,"1,574","1,792","1,576",216,"21,304","20,077","1,227","1,770",697,876,79,118,99.8,12.7
2022,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,173,185,173,12,"8,001","7,864",137,184,77,96,2,9,100,45.5
2022,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,50,54,50,4,55,54,1,49,29,20,0,0,98,1.1
2022,대학교,사립,서울,기존,감리교신학대학교,200,219,206,13,158,154,4,94,46,45,2,1,44.2,0.7
2022,대학교,사립,경기,기존,강남대학교,"1,491","1,629","1,491",138,"11,415","10,997",418,"1,589",711,779,54,45,99.9,7.4
2022,대학교,국립,강원,기존,강릉원주대학교,"1,331","1,353","1,267",86,"6,973","6,750",223,"1,304",716,526,38,24,98,5.3
2022,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,502,504,478,26,"2,909","2,773",136,503,289,188,18,8,99.8,5.8
2022,대학교,사립,서울,기존,강서대학교,277,367,277,90,"1,826","1,695",131,338,118,159,24,37,100,6.1
2022,대학교,국립,강원,기존,강원대학교,"3,093","3,320","3,100",220,"25,857","24,539","1,318","3,310","1,722","1,376",121,91,99.9,7.9
2022,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,"1,432","1,522","1,438",84,"8,414","7,895",519,"1,509",950,480,45,34,99.4,5.5
2022,대학교,사립,서울,기존,건국대학교,"3,000","3,507","3,021",486,"59,758","55,135","4,623","3,477","1,758","1,245",210,264,99.4,18.3
2022,대학교,사립,충북,기존,건국대학교(글로컬) _분교,"1,569","1,693","1,571",122,"16,582","15,772",810,"1,668",656,913,45,54,99.9,10
2022,대학교,사립,충남,기존,건양대학교,777,838,779,59,"4,216","4,046",170,777,349,394,17,17,95.4,5.2
2022,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,846,880,846,34,"5,849","5,598",251,874,276,566,15,17,99.5,6.6
2022,사이버대학(대학),사립,대전,기존,건양사이버대학교,900,"4,756",900,"3,856","1,337",974,363,996,164,567,91,174,81.2,1.1
2022,대학교,사립,경기,기존,경기대학교,"2,598","2,836","2,600",236,"28,035","26,600","1,435","2,799","1,303","1,295",119,82,99.9,10.2
2022,대학교,사립,서울,기존,경기대학교 _제2캠퍼스,328,394,330,64,"6,171","5,960",211,382,93,237,19,33,100,18.1
2022,대학교,사립,경남,기존,경남대학교,"2,195","2,342","2,220",122,"10,023","9,574",449,"1,920","1,108",733,42,37,82.9,4.3
2022,대학교,사립,강원,기존,경동대학교,1,84,1,83,59,8,51,52,1,0,37,14,100,8
2022,대학교,사립,강원,기존,경동대학교 _제3캠퍼스,989,"1,073",991,82,"7,890","7,241",649,"1,041",322,638,20,61,96.9,7.3
2022,대학교,사립,경기,기존,경동대학교 _제4캠퍼스,654,662,654,8,"5,261","4,953",308,662,389,265,4,4,100,7.6
2022,대학교,국립,대구,기존,경북대학교,"4,629","5,174","4,637",537,"56,301","52,552","3,749","5,006","2,701","1,917",211,177,99.6,11.3
2022,대학교,국립,경남,기존,경상국립대학교,"4,266","4,665","4,271",394,"29,393","28,013","1,380","4,512","2,391","1,863",146,112,99.6,6.6
2022,대학교,사립,부산,기존,경성대학교,"2,765","2,982","2,767",215,"20,031","18,779","1,252","2,963","1,268","1,491",116,88,99.7,6.8
2022,대학교,사립,경북,기존,경운대학교,"1,184","1,249","1,184",65,"7,610","7,358",252,"1,131",658,442,11,20,92.9,6.2
2022,교육대학,국립,인천,기존,경인교육대학교,598,659,601,58,"2,514","2,321",193,652,182,413,18,39,99,3.9
2022,대학교,사립,경북,기존,경일대학교,"1,584","1,823","1,584",239,"9,655","8,985",670,"1,645",901,593,116,35,94.3,5.7
2022,대학교,사립,경북,기존,경주대학교,762,726,685,41,795,743,52,214,89,121,0,4,30.7,1.1
2022,대학교,사립,서울,기존,경희대학교,"4,830","5,818","4,849",969,"83,736","79,472","4,264","5,796","2,552","2,283",380,581,99.7,16.4
2022,사이버대학(대학),사립,서울,기존,경희사이버대학교,"3,000","7,967","3,000","4,967","3,773","2,874",899,"2,833",813,"1,394",326,300,73.6,1
2022,대학교,사립,대구,기존,계명대학교,"4,620","5,071","4,621",450,"31,633","30,126","1,507","4,898","2,212","2,400",146,140,99.8,6.5
2022,대학교,사립,서울,기존,고려대학교,"3,889","4,574","3,894",680,"45,432","42,032","3,400","4,547","2,318","1,568",358,303,99.8,10.8
2022,대학교,사립,세종,기존,고려대학교(세종) _분교,"1,449","1,637","1,453",184,"18,417","17,782",635,"1,600",870,582,82,66,99.9,12.2
2022,사이버대학(대학),사립,서울,기존,고려사이버대학교,"2,449","5,594","2,449","3,145","3,521","3,236",285,"2,323","1,117","1,014",131,61,87,1.3
2022,대학교,사립,부산,기존,고신대학교,886,938,886,52,"7,038","6,948",90,823,318,483,11,11,90.4,7.8
2022,교육대학,국립,충남,기존,공주교육대학교,354,383,354,29,"1,698","1,532",166,380,125,229,9,17,100,4.3
2022,대학교,국립,충남,기존,공주대학교,"2,815","3,507","2,821",686,"27,007","25,279","1,728","3,238","1,382","1,437",283,136,99.9,9
2022,대학교,사립,광주,기존,광신대학교,122,128,122,6,172,172,0,122,44,78,0,0,100,1.4
2022,대학교,사립,서울,기존,광운대학교,"1,684","1,974","1,686",288,"20,791","19,214","1,577","1,957","1,109",576,140,132,99.9,11.4
2022,대학교,사립,전남,기존,광주가톨릭대학교,40,41,40,1,13,13,0,12,11,1,0,0,30,0.3
2022,대학교,특별법법인,광주,기존,광주과학기술원,200,200,200,0,"3,694","3,694",0,218,164,54,0,0,109,18.5
2022,교육대학,국립,광주,기존,광주교육대학교,326,353,326,27,"1,654","1,534",120,347,145,181,5,16,100,4.7
2022,대학교,사립,광주,기존,광주대학교,"1,481","1,589","1,492",97,"7,440","7,090",350,"1,560",702,786,32,40,99.7,4.8
2022,대학교,사립,광주,기존,광주여자대학교,920,971,920,51,"4,044","3,850",194,908,0,871,0,37,94.7,4.2
2022,대학교,사립,서울,기존,국민대학교,"2,966","3,588","2,972",616,"30,731","28,458","2,273","3,463","1,633","1,339",184,307,100,9.6
2022,사이버대학(대학),사립,경기,기존,국제사이버대학교,900,"2,837",900,"1,937","1,369","1,227",142,984,328,546,45,65,97.1,1.4
2022,대학교,국립,전북,기존,군산대학교,"1,735","1,924","1,738",186,"6,197","5,920",277,"1,522",932,516,45,29,83.3,3.4
2022,대학교,사립,충북,기존,극동대학교,871,929,872,57,"4,256","3,816",440,582,283,249,16,34,61,4.4
2022,사이버대학(대학),사립,충남,기존,글로벌사이버대학교,"1,100","1,549","1,100",449,908,897,11,735,216,518,0,1,66.7,0.8
