학교구분,학교코드,학교명,본분교,학제,지역,설립구분,관련법령,법인명,학교상태,중문학교명,영문학교명,주소,영문주소,중문주소,우편번호,학교개교일,학교홈페이지,총장(대학원장)명,학교대표번호,학교대표팩스번호
대학,1,강릉원주대학교,본교,대학교,강원,국립,고등교육법,해당없음,기존,国立江陵原州大学,Gangneung Wonju National University,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교) ","7, Jukheon-gil, Gangneung-si, Gangwon-do, Republic of Korea","7, Jukheon-gil, Gangneung-si, Gangwon-do, Republic of Korea",25457,1979-03-01,www.gwnu.ac.kr,반선섭,033-642-7001,033-643-7110
대학,2,강릉원주대학교,제2캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,国立江陵原州大学,Gangneung Wonju National University,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스) ","150, Namwon-ro, Heungeop-myeon, Wonju-si, Gangwon-do, Republic of Korea","150, Namwon-ro, Heungeop-myeon, Wonju-si, Gangwon-do, Republic of Korea",26403,2007-03-01,www.gwnu.ac.kr,반선섭,033-760-8020,033-760-8029
대학,3,강원대학교,본교,대학교,강원,국립,고등교육법,해당없음,기존,江原大学校,Kangwon National University,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교) ","1, Gangwondaehak-gil, Chuncheon-si, Gangwon-do, Republic of Korea","1, Gangwondaehak-gil, Chuncheon-si, Gangwon-do, Republic of Korea",24341,1970-03-01,www.kangwon.ac.kr/,김헌영,033-250-6114,033-251-9556
대학,4,강원대학교,제2캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,江原大学校,Kangwon National University,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스) ","346, Jungang-ro, Samcheok-si, Gangwon-do, Republic of Korea","346, Jungang-ro, Samcheok-si, Gangwon-do, Republic of Korea",25913,2006-03-01,www.kangwon.ac.kr/,김헌영,033-570-6114,033-572-8620
대학,5,경북대학교,본교,대학교,대구,국립,고등교육법,해당없음,기존,庆北大学校,Kyungpook National University,"대구광역시 북구 대학로 80 (산격동, 경북대학교) ","80, Daehak-ro, Buk-gu, Daegu, Republic of Korea","80, Daehak-ro, Buk-gu, Daegu, Republic of Korea",41566,1946-05-28,www.knu.ac.kr,홍원화,053-950-5114,053-950-2149
대학,7,경상국립대학교,본교,대학교,경남,국립,고등교육법,해당없음,기존,慶尙國立大學校,Gyeongsang National University,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교) ","501, Jinju-daero, Jinju-si, Gyeongsangnam-do, Republic of Korea","501, Jinju-daero, Jinju-si, Gyeongsangnam-do, Republic of Korea",52828,1910-04-30,www.gnu.ac.kr,권순기,055-772-1114,055-772-0359
대학,8,공주대학교,본교,대학교,충남,국립,고등교육법,해당없음,기존,公州大学校,Kongju National University,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교) ","56, Gongjudaehak-ro, Gongju-si, Chungcheongnam-do, Republic of Korea","56, Gongjudaehak-ro, Gongju-si, Chungcheongnam-do, Republic of Korea",32588,1948-07-31,www.kongju.ac.kr,원성수,041-850-8114,041-850-8019
대학,9,군산대학교,본교,대학교,전북,국립,고등교육법,해당없음,기존,群山大学校,Kunsan National University,"전라북도 군산시 대학로 558 (미룡동, 군산대학교) ","558, Daehak-ro, Gunsan-si, Jeollabuk-do, Republic of Korea","558, Daehak-ro, Gunsan-si, Jeollabuk-do, Republic of Korea",54150,1979-01-18,www.kunsan.ac.kr,김동익(총장직무대리),063-469-4113~4,063-469-4110
대학,10,금오공과대학교,본교,대학교,경북,국립,고등교육법,해당없음,기존,金乌工科大学校,Kumoh National Institute Of Technology,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교) ","61, Daehak-ro, Gumi-si, Gyeongsangbuk-do, Republic of Korea","61, Daehak-ro, Gumi-si, Gyeongsangbuk-do, Republic of Korea",39177,1980-03-01,www.kumoh.ac.kr,곽호상,(054)478-7114,(054)478-7100
대학,11,목포대학교,본교,대학교,전남,국립,고등교육법,해당없음,기존,木浦大学校,Mokpo National University,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교) ","1666, Yeongsan-ro, Cheonggye-myeon, Muan-gun, Jeollanam-do, Republic of Korea","1666, Yeongsan-ro, Cheonggye-myeon, Muan-gun, Jeollanam-do, Republic of Korea",58554,1946-10-31,www.mokpo.ac.kr,박민서,061-450-2114,061-452-4793
대학,12,목포해양대학교,본교,대학교,전남,국립,고등교육법,해당없음,기존,木浦海洋大学校,Mokpo National Maritime University,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교) ","91, Haeyangdaehak-ro, Mokpo-si, Jeollanam-do, Republic of Korea","91, Haeyangdaehak-ro, Mokpo-si, Jeollanam-do, Republic of Korea",58628,1993-03-01,www.mmu.ac.kr,한원희,061-240-7114,061-242-5176
대학,13,부경대학교,본교,대학교,부산,국립,고등교육법,해당없음,기존,釜庆大学校,Pukyong National University,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스) ","45, Yongso-ro, Nam-Gu. Busan, Republic of Korea","45, Yongso-ro, Nam-Gu. Busan, Republic of Korea",48513,1996-07-06,www.pknu.ac.kr,장영수,051-629-4114,051-629-5089
대학,14,부산대학교,본교,대학교,부산,국립,고등교육법,해당없음,기존,釜山大学校,Pusan National University,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교) ","2, Busandaehak-ro 63beon-gil, Geumjeong-gu, Busan, Republic of Korea","2, Busandaehak-ro 63beon-gil, Geumjeong-gu, Busan, Republic of Korea",46241,1946-05-15,www.pusan.ac.kr,차정인,051-512-0311,051-512-3368
대학,19,서울대학교,본교,대학교,서울,국립대법인,고등교육법,서울대학교 법인,기존,首尔大学,Seoul National University,"서울특별시 관악구 관악로 1 (신림동, 서울대학교) ","1, Gwanak-ro, Gwanak-gu, Seoul, Republic of Korea","1, Gwanak-ro, Gwanak-gu, Seoul, Republic of Korea",8826,1946-08-22,www.snu.ac.kr,오세정,02-880-5114,02-885-5272
대학,20,순천대학교,본교,대학교,전남,국립,고등교육법,해당없음,기존,顺天大学校,Sunchon National University,"전라남도 순천시 중앙로 255 (석현동, 순천대학교) ","255, Jungang-ro, Suncheon-si, Jeollanam-do, Republic of Korea","255, Jungang-ro, Suncheon-si, Jeollanam-do, Republic of Korea",57922,1982-03-10,www.scnu.ac.kr/SCNU/main.do,고영진,061-750-3114,061-750-3117
대학,21,안동대학교,본교,대학교,경북,국립,고등교육법,해당없음,기존,安东大学校,Andong National University,"경상북도 안동시 경동로 1375 (송천동, 안동대학교) ","1375, Gyeongdong-ro, Andong-si, Gyeongsangbuk-do, Republic of Korea","1375, Gyeongdong-ro, Andong-si, Gyeongsangbuk-do, Republic of Korea",36729,1979-03-12,www.andong.ac.kr/main/index.do,권순태,054-820-5114,054-820-7115
대학,23,전남대학교,본교,대학교,광주,국립,고등교육법,해당없음,기존,全南大学校,Chonnam National University,"광주광역시 북구 용봉로 45 (용봉동, 전남대학교) ","45, Yongbong-ro, Buk-gu, Gwangju, Republic of Korea","45, Yongbong-ro, Buk-gu, Gwangju, Republic of Korea",61186,1951-10-06,www.chonnam.ac.kr,정성택,062-530-5114,062-530-1189
대학,24,전남대학교,제2캠퍼스,대학교,전남,국립,고등교육법,해당없음,기존,全南大学校,Chonnam National University,"전라남도 여수시 대학로 50 (둔덕동, 전남대학교여수캠퍼스) ","50, Daehak-ro, Yeosu-si, Jeollanam-do, Republic of Korea","50, Daehak-ro, Yeosu-si, Jeollanam-do, Republic of Korea",59626,2006-03-01,www.chonnam.ac.kr,정성택,061-659-6114,061-659-7003
대학,25,전북대학교,본교,대학교,전북,국립,고등교육법,해당없음,기존,国立全北大学,Jeonbuk National University,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교) ","567, Baekje-daero, Deokjin-gu, Jeonju-si, Jeollabuk-do, Republic of Korea","567, Baekje-daero, Deokjin-gu, Jeonju-si, Jeollabuk-do, Republic of Korea",54896,1951-10-06,www.jbnu.ac.kr,김동원,063-270-2114,063-276-0429
대학,27,제주대학교,본교,대학교,제주,국립,고등교육법,해당없음,기존,济州大学,Jeju National University,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교) ","102, Jejudaehak-ro, Jeju-si, Jeju-do, Republic of Korea","102, Jejudaehak-ro, Jeju-si, Jeju-do, Republic of Korea",63243,1952-05-27,www.jejunu.ac.kr,송석언,"064-754-2114, 8217",064-755-8562
대학,28,창원대학교,본교,대학교,경남,국립,고등교육법,해당없음,기존,昌原大学,Changwon National University,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교) ","20, Changwondaehak-ro, Uichang-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea","20, Changwondaehak-ro, Uichang-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea",51140,1969-03-21,www.changwon.ac.kr,이호영,055-213-2114,055-283-2970
대학,29,충남대학교,본교,대학교,대전,국립,고등교육법,해당없음,기존,忠南大学,Chungnam National University,"대전광역시 유성구 대학로 99 (궁동, 충남대학교) ","99, Daehak-ro, Yuseong-gu, Daejeon, Republic of Korea","99, Daehak-ro, Yuseong-gu, Daejeon, Republic of Korea",34134,1952-05-25,www.cnu.ac.kr,이진숙,042-821-5114,042-823-5875
대학,30,충북대학교,본교,대학교,충북,국립,고등교육법,해당없음,기존,忠北大学,Chungbuk National University,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교) ","1, Chungdae-ro, Seowon-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea","1, Chungdae-ro, Seowon-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea",28644,1951-09-27,www.chungbuk.ac.kr,김수갑,"043-261-2114, 3114",043-261-3333
대학,31,한국교원대학교,본교,대학교,충북,국립,고등교육법,해당없음,기존,国立韩国教员大学,Korea National University Of Education,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교) ","250, Taeseongtabyeon-ro, Gangnae-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea","250, Taeseongtabyeon-ro, Gangnae-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea",28173,1984-03-15,www.knue.ac.kr,김종우,043-230-3114,043-233-2960
